2026-05-03T00:15:00Z	pr_backlog	pass	PR-Backlog: created mission/kpi/acceptance/tasks/depends_on/provides/files for b.acceptance-verifier-loop; status: idea; closes the verification gap (Symphony lacks it, Hermes lacks it); 5-PR breakdown
2026-05-03T07:00:00Z	pr_1_assertion_parser	pass	T1.1-T1.5 done: scripts/parse_acceptance.mjs with strict bullet matcher (- [x|space] **A1[ (label)].** text), optional fenced YAML block per assertion (evidence_kind + evidence_spec), section header stops parsing, default kind = llm_judge, supported kinds = exit_code/fs_glob/file_diff/log_grep/selftest_run/llm_judge. tests/parse_acceptance.selftest.mjs 9 groups green incl. parsing 7 real acceptance.md files in repo (39 assertions, 0 warnings). MCP tool parse_acceptance + CLI. Wired into nightly. Foundation for PR-2 (collectors) + PR-3 (LLM-judge) + PR-4 (gate hooks).
2026-05-03T13:30:00Z	pr_2_evidence_collectors	pass	T2.1-T2.7 done: scripts/collect_evidence.mjs with 5 deterministic collectors (exit_code via spawnSync+shell, fs_glob via fs.globSync+fallback with min_count/max_age_min, file_diff via git diff --name-only with must_touch/must_not_touch + graceful skip if not git, log_grep with regex+since_time, selftest_run alias for exit_code) + verifyBlock(blockId) orchestrator combining parser+collectors → aggregate {pass,fail,skipped,verdict}. tests/evidence_collectors.selftest.mjs 11 groups green (positive+negative per kind, max_age_min fresh/stale, log_grep since_time, missing file, git tmp-repo with gpgsign disabled, llm_judge defer skipped, unknown kind fail, verifyBlock e2e synthetic block 4 assertions {exit pass, glob pass, llm_judge skipped, exit fail} → counts {2,1,1} verdict=fail). MCP tools collect_evidence + verify_block_acceptance live. Wired into nightly. Smoke verify on b.llm-gateway returns 5/5 skipped (all default to llm_judge) — confirms collectors only fire when YAML evidence_spec present, no false positives on existing acceptance.md.
2026-05-03T14:00:00Z	pr_2_migration	pass	Migration: added evidence_spec YAML to b.llm-gateway (A1/A2/A4/A5 → 4 deterministic + A3 still llm_judge for live key), b.agent-orchestrator (A1/A2/A3/A4/A7 → 5 deterministic + A5/A6 still llm_judge for live IDE+claude adapter), b.docs (A1/A2/A4 → 3 deterministic + A3/A5 llm_judge). scripts/verify_all_acceptance.mjs walks all blocks, writes per-block acceptance_runs/<block>/<UTC>.json + _latest.json + _summary.json. Wired into nightly as info-only step (exit 0 always). End-to-end report on whole repo: 2 blocks pass (b.agent-orchestrator 5/7, b.llm-gateway 4/5), 1 block fail (b.docs A2 — wiki.html missing class=mermaid div, real signal: b.docs status=wip with reason "needs mermaid PR2"), 7 inconclusive (waiting for PR-3 LLM-judge or further migration). 11 assertions pass / 1 real fail / 47 skipped.
2026-05-03T14:30:00Z	pr_3_llm_judge	pass	T3.1-T3.4 done: scripts/judge_assertion.mjs via callLLM with schema {verdict, reasoning, evidence_quote}; verdict enum [inconclusive,pass,fail] — inconclusive first so deterministic-empty mock fallback never silent-passes. Prompt includes BLOCK + ASSERTION + mission excerpt + recent checks. Cost cap $0.02 default via LLM_MAX_USD_PER_RUN — exceeded → cost_capped:true + inconclusive. tests/llm_judge.smoke.mjs 4 groups (no fixture → inconclusive with mock-unavailable reasoning, seeded fixture pass, seeded fixture fail, cost_capped:false on mock). Wired into collect_evidence.mjs llm_judge case (collectEvidence + verifyBlock are now async; selftest updated; sh helper switched to spawnSync). MCP tool judge_assertion live. With API key configured, 47 skipped assertions in verify_all_summary will auto-resolve to real verdicts.
2026-05-03T15:00:00Z	pr_4_gate_hooks	pass	T4.1-T4.6 done: verifier is now a HARD GATE against wip→done. (T4.1) scripts/verify_block_acceptance.mjs writes acceptance_runs/<block>/<UTC>.json + _latest.json + appends single line to checks.log; exit code = verdict (0/1/2). (T4.2) scripts/log_transition.mjs reads _latest.json before →done; verdict !== pass → exit 1 with sample failures + fix command + bypass hint; --allow-no-verifier override is logged in transitions.log as gate=overridden. (T4.3) scripts/run_block_implementation.mjs auto-spawns verifier after agent exit 0; ATLAS_SKIP_VERIFIER=1 to skip; print-only mode prints hint instead of pre-running. (T4.4) scripts/verify_done_blocks_still_green.mjs nightly re-verifies done blocks and writes acceptance_regression proposals (kind, sample_failures, retry_prompt_hint, dedup); never auto-flips done→broken. (T4.5) MCP tools read_acceptance_run + list_failed_acceptances live. (T4.6) tests/acceptance_verifier.e2e.smoke.mjs 5 phases on tmpdir fake atlas: fail verdict → reject transition → fix → pass verdict → accept transition → regress → proposal. ATLAS_ROOT env override added to verify_block_acceptance / judge_assertion / verify_done_blocks_still_green / parse_acceptance for testability.
2026-05-03T15:30:00Z	pr_5_ui_surface	pass	T5.1-T5.4 done: scripts/generate_atlas_bootstrap_js.mjs payload now carries acceptanceRuns (per-block latest verdict + assertions) and acceptanceSummary (cross-block) so UI reads from window.SIMA_BOOTSTRAP without extra fetch. AcceptanceSection in Sima (Remix)/arch_canvas.jsx renders cool/warn/red badge `verdict · N/M (X fail)` + relative-time `last run: 30 sec ago` + per-assertion list with tick + evidence_kind + text; expand on fail/skipped → evidence + reasoning + 📋 «Скопировать как prompt для retry» (clipboard fallback for older browsers). Sima (Remix)/proposals_panel.jsx specialised card for kind='acceptance_regression': red theme, sample_failures with evidence snippets, retry_prompt_hint preview, three buttons: Accept (→ broken) / 🔁 «Прогнать снова с подсказкой» (POST /run-block {block_id, prompt: retry_prompt_hint}) / Reject. accept_proposal.mjs extended to apply proposal.proposed.{status, status_reason} for the new kind (safe-list only, mission stays human-written). T5.5 (Playwright smoke screenshots) deferred to b.user-docs-generator PR-3 since Playwright isn't yet wired.
2026-05-05T20:20:04.225Z	design_patch	pass	atlas/blocks/b.acceptance-verifier-loop/user_story.md
2026-06-05T22:03:00.923Z	acceptance_verifier	fail	verdict=fail pass=6 fail=1 skipped=1 fails=[A5:frontend/arch_canvas.jsx does not exist]
2026-06-05T22:06:15.300Z	acceptance_verifier	pass	verdict=pass pass=7 fail=0 skipped=1
2026-06-05T22:10:12.328Z	acceptance_verifier	pass	verdict=pass pass=7 fail=0 skipped=1
